location,date,vaccine,total_vaccinations
Argentina,7/03/2021,Sinopharm/Beijing,203333
Argentina,7/03/2021,Sputnik V,1116262
Argentina,8/03/2021,Oxford/AstraZeneca,499335
Argentina,8/03/2021,Pfizer/BioNTech,20
Argentina,8/03/2021,Sinopharm/Beijing,256286
Argentina,8/03/2021,Sputnik V,1134248
Argentina,9/03/2021,Oxford/AstraZeneca,515682
Argentina,9/03/2021,Sinopharm/Beijing,319404
Argentina,9/03/2021,Sputnik V,1170614
Argentina,10/03/2021,Oxford/AstraZeneca,527771
Argentina,10/03/2021,Sinopharm/Beijing,418153
Argentina,10/03/2021,Sputnik V,1223793
Argentina,11/03/2021,Oxford/AstraZeneca,537718
Argentina,11/03/2021,Sinopharm/Beijing,503050
Argentina,11/03/2021,Sputnik V,1315868
Argentina,12/03/2021,Oxford/AstraZeneca,545242
Argentina,12/03/2021,Sinopharm/Beijing,564203
Argentina,12/03/2021,Sputnik V,1408892
Argentina,13/03/2021,Oxford/AstraZeneca,548221
Argentina,13/03/2021,Sinopharm/Beijing,574710
Argentina,13/03/2021,Sputnik V,1441808
Argentina,14/03/2021,Oxford/AstraZeneca,548270
Argentina,14/03/2021,Sinopharm/Beijing,581368
Argentina,14/03/2021,Sputnik V,1444275
Argentina,15/03/2021,Oxford/AstraZeneca,554694
Argentina,15/03/2021,Sinopharm/Beijing,621993
Argentina,15/03/2021,Sputnik V,1534879
Argentina,16/03/2021,Oxford/AstraZeneca,557814
Argentina,16/03/2021,Sinopharm/Beijing,656673
Argentina,16/03/2021,Sputnik V,1630840
Argentina,17/03/2021,Oxford/AstraZeneca,560527
Argentina,17/03/2021,Sinopharm/Beijing,679654
Argentina,17/03/2021,Sputnik V,1744770
Argentina,18/03/2021,Moderna,6
Argentina,18/03/2021,Oxford/AstraZeneca,562216
Argentina,18/03/2021,Sinopharm/Beijing,701807
Argentina,18/03/2021,Sputnik V,1859913
Argentina,19/03/2021,Oxford/AstraZeneca,564065
Argentina,19/03/2021,Pfizer/BioNTech,21
Argentina,19/03/2021,Sinopharm/Beijing,725416
Argentina,19/03/2021,Sputnik V,1960680
Argentina,20/03/2021,Oxford/AstraZeneca,564407
Argentina,20/03/2021,Sinopharm/Beijing,729356
Argentina,20/03/2021,Sputnik V,2007289
Argentina,21/03/2021,CanSino,5
Argentina,21/03/2021,Oxford/AstraZeneca,564430
Argentina,21/03/2021,Sinopharm/Beijing,729705
Argentina,21/03/2021,Sputnik V,2026552
Argentina,22/03/2021,Oxford/AstraZeneca,565902
Argentina,22/03/2021,Sinopharm/Beijing,747107
Argentina,22/03/2021,Sputnik V,2090760
Argentina,23/03/2021,Oxford/AstraZeneca,570592
Argentina,23/03/2021,Sinopharm/Beijing,760667
Argentina,23/03/2021,Sputnik V,2179019
Argentina,24/03/2021,Oxford/AstraZeneca,571870
Argentina,24/03/2021,Sinopharm/Beijing,763809
Argentina,24/03/2021,Sputnik V,2212068
Argentina,25/03/2021,Oxford/AstraZeneca,573226
Argentina,25/03/2021,Sinopharm/Beijing,774714
Argentina,25/03/2021,Sputnik V,2303026
Argentina,26/03/2021,Oxford/AstraZeneca,575882
Argentina,26/03/2021,Sinopharm/Beijing,783891
Argentina,26/03/2021,Sputnik V,2384784
Argentina,27/03/2021,Moderna,7
Argentina,27/03/2021,Oxford/AstraZeneca,576776
Argentina,27/03/2021,Sinopharm/Beijing,786199
Argentina,27/03/2021,Sputnik V,2436690
Argentina,28/03/2021,Oxford/AstraZeneca,577683
Argentina,28/03/2021,Pfizer/BioNTech,23
Argentina,28/03/2021,Sinopharm/Beijing,786674
Argentina,28/03/2021,Sputnik V,2456141
Argentina,29/03/2021,Oxford/AstraZeneca,581276
Argentina,29/03/2021,Pfizer/BioNTech,24
Argentina,29/03/2021,Sinopharm/Beijing,798180
Argentina,29/03/2021,Sputnik V,2561263
Argentina,30/03/2021,Oxford/AstraZeneca,584159
Argentina,30/03/2021,Pfizer/BioNTech,25
Argentina,30/03/2021,Sinopharm/Beijing,808680
Argentina,30/03/2021,Sputnik V,2710951
Argentina,31/03/2021,Oxford/AstraZeneca,604107
Argentina,31/03/2021,Sinopharm/Beijing,820697
Argentina,31/03/2021,Sputnik V,2853986
Argentina,1/04/2021,Oxford/AstraZeneca,629684
Argentina,1/04/2021,Sinopharm/Beijing,824460
Argentina,1/04/2021,Sputnik V,2941814
Argentina,2/04/2021,Oxford/AstraZeneca,642509
Argentina,2/04/2021,Sinopharm/Beijing,826782
Argentina,2/04/2021,Sputnik V,2994837
Argentina,3/04/2021,Oxford/AstraZeneca,661152
Argentina,3/04/2021,Sinopharm/Beijing,827873
Argentina,3/04/2021,Sputnik V,3049585
Argentina,4/04/2021,Moderna,8
Argentina,4/04/2021,Oxford/AstraZeneca,675549
Argentina,4/04/2021,Sinopharm/Beijing,829537
Argentina,4/04/2021,Sputnik V,3082021
Argentina,5/04/2021,Oxford/AstraZeneca,709391
Argentina,5/04/2021,Sinopharm/Beijing,858671
Argentina,5/04/2021,Sputnik V,3185083
Argentina,6/04/2021,Oxford/AstraZeneca,735859
Argentina,6/04/2021,Sinopharm/Beijing,933829
Argentina,6/04/2021,Sputnik V,3277505
Argentina,7/04/2021,Oxford/AstraZeneca,766099
Argentina,7/04/2021,Sinopharm/Beijing,1052154
Argentina,7/04/2021,Sputnik V,3367414
Argentina,8/04/2021,Oxford/AstraZeneca,790197
Argentina,8/04/2021,Pfizer/BioNTech,28
Argentina,8/04/2021,Sinopharm/Beijing,1182466
Argentina,8/04/2021,Sputnik V,3449010
Argentina,9/04/2021,Oxford/AstraZeneca,808554
Argentina,9/04/2021,Sinopharm/Beijing,1330062
Argentina,9/04/2021,Sputnik V,3523500
Argentina,10/04/2021,Oxford/AstraZeneca,813372
Argentina,10/04/2021,Sinopharm/Beijing,1384055
Argentina,10/04/2021,Sputnik V,3557647
Argentina,11/04/2021,Oxford/AstraZeneca,814239
Argentina,11/04/2021,Sinopharm/Beijing,1416912
Argentina,11/04/2021,Sputnik V,3572242
Argentina,12/04/2021,Oxford/AstraZeneca,824155
Argentina,12/04/2021,Sinopharm/Beijing,1512276
Argentina,12/04/2021,Sputnik V,3648811
Argentina,13/04/2021,Moderna,9
Argentina,13/04/2021,Oxford/AstraZeneca,832501
Argentina,13/04/2021,Sinopharm/Beijing,1594774
Argentina,13/04/2021,Sputnik V,3744080
Argentina,14/04/2021,Oxford/AstraZeneca,838946
Argentina,14/04/2021,Pfizer/BioNTech,29
Argentina,14/04/2021,Sinopharm/Beijing,1662161
Argentina,14/04/2021,Sputnik V,3841972
Argentina,15/04/2021,Oxford/AstraZeneca,843146
Argentina,15/04/2021,Sinopharm/Beijing,1713350
Argentina,15/04/2021,Sputnik V,3937723
Argentina,16/04/2021,Oxford/AstraZeneca,846431
Argentina,16/04/2021,Sinopharm/Beijing,1759465
Argentina,16/04/2021,Sputnik V,4012073
