location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred,,,,,
Argentina,11/02/2020,80-89,0,0,0,,,,,
Argentina,11/02/2020,90-99,0,0,0,,,,,
Argentina,12/02/2020,100+,0,0,0,,,,,
Argentina,12/02/2020,12-17,0,0,0,,,,,
Argentina,12/02/2020,18-29,0,0,0,,,,,
Argentina,12/02/2020,3-11,0,0,0,,,,,
Argentina,12/02/2020,30-39,0,0,0,,,,,
Argentina,12/02/2020,40-49,0,0,0,,,,,
Argentina,12/02/2020,50-59,0,0,0,,,,,
Argentina,12/02/2020,60-69,0,0,0,,,,,
Argentina,12/02/2020,70-79,0,0,0,,,,,
Argentina,12/02/2020,80-89,0,0,0,,,,,
Argentina,12/02/2020,90-99,0,0,0,,,,,
Argentina,13/02/2020,100+,0,0,0,,,,,
Argentina,13/02/2020,12-17,0,0,0,,,,,
Argentina,13/02/2020,18-29,0,0,0,,,,,
Argentina,13/02/2020,3-11,0,0,0,,,,,
Argentina,13/02/2020,30-39,0,0,0,,,,,
Argentina,13/02/2020,40-49,0,0,0,,,,,
Argentina,13/02/2020,50-59,0,0,0,,,,,
Argentina,13/02/2020,60-69,0,0,0,,,,,
Argentina,13/02/2020,70-79,0,0,0,,,,,
Argentina,13/02/2020,80-89,0,0,0,,,,,
Argentina,13/02/2020,90-99,0,0,0,,,,,
Argentina,14/02/2020,100+,0,0,0,,,,,
Argentina,14/02/2020,12-17,0,0,0,,,,,
Argentina,14/02/2020,18-29,0,0,0,,,,,
Argentina,14/02/2020,3-11,0,0,0,,,,,
Argentina,14/02/2020,30-39,0,0,0,,,,,
Argentina,14/02/2020,40-49,0,0,0,,,,,
Argentina,14/02/2020,50-59,0,0,0,,,,,
Argentina,14/02/2020,60-69,0,0,0,,,,,
Argentina,14/02/2020,70-79,0,0,0,,,,,
Argentina,14/02/2020,80-89,0,0,0,,,,,
Argentina,14/02/2020,90-99,0,0,0,,,,,
Argentina,15/02/2020,100+,0,0,0,,,,,
Argentina,15/02/2020,12-17,0,0,0,,,,,
Argentina,15/02/2020,18-29,0,0,0,,,,,
Argentina,15/02/2020,3-11,0,0,0,,,,,
Argentina,15/02/2020,30-39,0,0,0,,,,,
Argentina,15/02/2020,40-49,0,0,0,,,,,
Argentina,15/02/2020,50-59,0,0,0,,,,,
Argentina,15/02/2020,60-69,0,0,0,,,,,
Argentina,15/02/2020,70-79,0,0,0,,,,,
Argentina,15/02/2020,80-89,0,0,0,,,,,
Argentina,15/02/2020,90-99,0,0,0,,,,,
Argentina,16/02/2020,100+,0,0,0,,,,,
