location,date,source_url
England,30/08/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,31/08/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,10/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/09/2021,https://coronavirus.data.gov.uk/details/vaccinations
